"Date","Open","High","Low","Close","Volume"
"2020-12-08","24.1","24.11","23.75","23.9","13709080"
"2020-12-09","23.75","23.81","23.18","23.36","20562610"
"2020-12-10","23.5","23.57","22.98","23.09","18028680"
"2020-12-11","23.08","23.31","22.84","22.9","13964430"
"2020-12-14","22.9","23.07","22.4","22.44","14728650"
"2020-12-15","22.84","23.17","22.71","22.87","16057900"
"2020-12-16","23.01","23.14","22.66","23.07","17231350"
"2020-12-17","23.64","24.04","23.41","23.59","20273860"
"2020-12-18","23.69","23.69","23.26","23.27","14803030"
"2020-12-21","23.25","23.41","22.95","23.02","20688190"
"2020-12-22","23","23.045","22.26","22.52","19847900"
"2020-12-23","22.62","23.03","22.56","22.83","11737790"
"2020-12-24","22.8","23.04","22.725","22.9","4920055"
"2020-12-28","23.52","23.54","22.8","22.84","15946700"
"2020-12-29","22.96","23.28","22.75","22.91","14663880"
"2020-12-30","22.97","23.28","22.8533","23.24","16046470"
"2020-12-31","23.25","23.27","22.7","22.78","18087970"
"2021-01-04","23.85","24.8","23.62","24.62","41044670"
"2021-01-05","24.93","24.95","24.09","24.28","30884830"
"2021-01-06","24.07","24.57","23.9","24.5","30367790"
"2021-01-07","24.54","24.86","24.25","24.77","18995980"
"2021-01-08","24.22","24.37","23.58","23.97","25824790"
"2021-01-11","23.53","23.78","23.44","23.52","21596920"
"2021-01-12","23.59","23.67","23.2","23.54","22550310"
"2021-01-13","23.6","23.8969","23.49","23.6","17298520"
"2021-01-14","23.57","23.9099","23.54","23.68","15120870"
"2021-01-15","23.58","23.725","23.11","23.14","16309940"
"2021-01-19","23.33","23.4799","23.11","23.39","16575440"
"2021-01-20","23.73","23.96","23.58","23.83","17136420"
"2021-01-21","23.84","23.87","23.41","23.68","14083570"
"2021-01-22","23.18","23.695","22.92","23.47","13121400"
"2021-01-25","23.6","23.76","23.205","23.44","15448580"
"2021-01-26","23.44","23.56","23.24","23.28","11643780"
"2021-01-27","23.09","23.11","21.88","21.99","32615290"
"2021-01-28","22.44","22.55","22.09","22.36","23204380"
"2021-01-29","22.9","23.08","22.25","22.37","25413930"
"2021-02-01","22.93","22.97","22.14","22.54","25095510"
"2021-02-02","22.14","22.52","21.94","22.34","15373550"
"2021-02-03","22.32","22.4784","22.18","22.34","11032210"
"2021-02-04","21.91","22.05","21.48","21.99","17676680"
"2021-02-05","22.1","22.38","21.86","22.33","17395810"
"2021-02-08","22.63","22.68","22.39","22.46","11633930"
"2021-02-09","22.52","22.5399","22.265","22.43","12879100"
"2021-02-10","22.58","22.7","22.325","22.51","11056670"
"2021-02-11","22.55","22.57","22.115","22.19","12689480"
"2021-02-12","22.07","22.29","21.71","22.15","14572980"
"2021-02-16","21.99","22.11","21.65","21.7","18692730"
"2021-02-17","21.31","21.31","20.6","20.83","36717320"
"2021-02-18","20.87","20.99","20.22","20.32","29436470"
"2021-02-19","20.36","20.43","19.69","19.78","38062320"
"2021-02-22","20","20.6","19.86","20.53","28933870"
"2021-02-23","20.52","20.57","19.79","20.16","22904370"
"2021-02-24","19.97","20.22","19.73","20.1","17803360"
"2021-02-25","19.85","20.1999","19.36","19.45","25862380"
"2021-02-26","19.23","19.29","18.64","18.67","32845990"
"2021-03-01","19","19.25","18.8","18.97","24088810"
"2021-03-02","19.19","19.98","19.145","19.86","25720890"
"2021-03-03","19.41","19.57","19.01","19.5","21362610"
"2021-03-04","19.5","20","19.28","19.54","28469250"
"2021-03-05","19.61","19.87","19.21","19.84","20863130"
"2021-03-08","19.83","19.8622","19.31","19.5","14384810"
"2021-03-09","20.08","20.42","19.85","19.99","19423850"
"2021-03-10","20.17","20.33","19.8","20.12","16621880"
"2021-03-11","20.27","20.44","20.01","20.31","14448760"
"2021-03-12","19.99","20.42","19.82","20.32","12741880"
"2021-03-15","20.46","20.86","20.3201","20.77","16169090"
"2021-03-16","20.84","20.86","20.515","20.71","12121840"
"2021-03-17","20.59","21.34","20.39","21.13","20170720"
"2021-03-18","20.82","21.13","20.71","20.86","13137520"
"2021-03-19","20.95","20.99","20.69","20.96","24422140"
"2021-03-22","20.74","20.88","20.59","20.62","12354440"
